Comment,Label
شمس مثقفة و جميلة وايد ... و احلام ههههععع ما اقول,Negitive
احلام اني حبيتها اكثر لان  انظلمت كثير من الناس  هي امراه قويه وكبيره في عيونا وليسه محتشم,Positive
كبرلفك والله دايضحكون عليج,Positive
والله كلامه صحيح عن شمس,Positive
ذكرى ما نسيناك وما حد بينسينا صوتك الجميل وطيبتك وقدراتك الغير موجوده في أي بشر رحمك الله,Positive
الله يرحمك اسمعو صوتها وراح تتئكدون انتي النكره والنشاز إذا جاء اسم ذكرى توقفين احترام وتقدير لها مين قال ان صوتك حلو,Negitive
اسمعي هاذا انت والصدفه ووش إخباري واحذرك وفرصه اخيره وجميع اغانيها اتحداك إذا قدرتي تتقني نص احساسها وصوتها والله يرحم الفن من بعدك ياذكرى,Positive
حتى الليبي اتقنته,Positive
غنت لجميع الدوول العربيه,Positive
احلام   انسانة  فاقدة  توازنههديها ا  تحتاج  الى العلاج    اللة يهديها,Negitive
الحمد لله ماراح تشارك,Positive
احلام عفويه واعتقد ان قلبها كثير طيب,Positive
والله فنانات لاشكل ولا منظر ولا صوت بدون  مكياج تقرف تنظر لهم  ولا اى حد عجبهم  لا حول ولا قوة الا بالله,Positive
اني عراقي وموت بحلام احسن مطربة بل خليجً وكلبهة طيب وعلى نياتهة,Positive
انى كتير بكرهه,Positive
ملكة انا بموت فيك وفشخصيتك القوية وفعفويتك ملكة ملكة,Positive
فيديو حقيقي لاحلام بس ممكن أعرف مين الصحفي اللباني الي كان عم بعلق كلامو دقيق وعم يحكي كناقد مختص,Positive
والله انتي كل صوت ماعندك وكل ادب واخلاق ماعندك,Negitive
احلا تحيه لاحلام بس الناس مقهورين منها,Positive
شي ميشبه شي😒,Positive
سلام اين الادب اين الاخلاق كسيات عريات خشب جهنم ياويلك ياويلك الدنيا فنيا نش دايمة,Positive
"انتم ليش زعلانين من احلام .... ولا تزعلوا ولا على بالكم ...الله عز وجل قال ...
بسم الله الرحمن الرحيم .. 
ولا يحزنك كفرهم .. صدق الله العظيم
وبعدين بدل الشتايم لاحلام انا باقترح تبعتولها رسائل تذكير بالله.... وبعدين احلام قديش بدها تعيش... يعني بدها تعيش كمان عشرين ثلاثين سنة ... اخريتها بين يدي الله ... وكلٌ آتي الرحمن فردا ... ويا حسرة علّي ظيع عمره في معصية الله",Positive
