Comment,Label
كلامه صحيح ٪ قدوتي😍,Positive
كيف نقنع الناس ان الي فيهم مو سحر,Netural
اصلا كل فيديوهاتها مش حلوين,Negitive
لطيفه جدا  بلعكس نانسي وبين عليها حنونه جدا وما تلومها علي صار  لانها مجبره انها دافع عن زوجها وتقف بجانبه,Positive
من أفضل من ريال مدريد,Netural
الإبداع الي الله يحرمنا منه💞,Negitive
الله يجزاك الجنة جدا مفيد الفيديو والله يرزقنا رزقا حلالا طيبا ومن أفادنا يارب شكرا لك,Positive
تصلحون ل الصراصير جوكم جو جدا كيبوب,Negitive
من صالح الشيطان عدم ظهور دلائل وجود السحر لك رغبة منه في عدم تصديق الناس للقرآن,Netural
اول شي رقص جاي من سوق جمعه و لحن كله مو مطابق على كلمات موهبه تستحق حرق بنت احبه🥵,Negitive
الدقيقه ٢٠و٢٥ثانيه كسر خاطري💔,Netural
تكفون راضين عن نفسكم تطلعوا بهالشكل علشان ايش علشان شهره وانتوا لا انشهرتوا ولا قدمتوا محتوى هادف خلاص بطلوا ترا بس تضحكون الناس عليكم وتاخذوا ذنوب ما قلت لكم بطلوا من السوشال ميديا بس حاولوا يكون محتواكم هادف اكثر و محترم اكثر,Negitive
شخرب النسوان علينا غير الحريه,Negitive
نستعرف بيك راجل و سيد الرجال,Positive
يارجال بعض المدرسين يستاهل,Negitive
انا مشكلتي في الانجليزي كله مافي عربي,Netural
اتفق معك اليوم تقول انك سباح,Netural
انا لسة بحبها ما حدا هيخليني اكرها,Netural
اللهم حبب اليه القران ياالله اللهم حبب اليه القران ياالله اللهم اجعل القران العظيم ربيع قلبي ونور صدري وجلاء همي وذهاب غمي وحزني يالله,Netural
قناه وهاذي جودة الصوت,Negitive
من يسكن البحر ويحبه الناس,Netural
اللهم بارك بمجهودك وبعلمك,Positive
موهبة تستحق الدفن,Negitive
الحمد لله على نعمة الإسلام وكفى بها نعمة وعافية وستر,Positive
عن جد مشكوور اخينا,Positive
مرهه مرهه جميل ذوبت مينو مرحح مرحح هيلو 😍🥰🥰😘,Positive
التعريف الحقيقي للجهل,Negitive
الله يحقق احلامك ويرحم والديك,Positive
كنت منجلط وزاد جلطه مابقي شوي الا وتجيني نوبه قلبيه 🥲,Negitive
هه ذي مو موهبه,Negitive
يبوي اليوفي في حقبه له سموه نادي الكون جاب كل البطولات الي لعبها,Netural
عبدالله شكرا بعد سنتين ربحت اكثر من  الف,Positive
ياليت المقطع بدون موسيقى لانها حرام,Negitive
ولا تنسى ان ريال مدريد دق برشلونة ٥ دقوهم ٤ ولا تنسون ال١١١,Netural
وااصل فكرتك ممتازة,Positive
خل حلمتك تنام بعدين قدم الحلقة😅✋,Negitive
يشيخ تسوق امها لازم تكفر بالله علشان تتواصل مع الجن,Negitive
خذو منه جواله واقطعوا عنه النت هالمريض انا متأكد ان الجن قاعدين حولك يتونسون عليك ونت تصور ياهوبكنزز,Negitive
الافضل حذف المقطع,Negitive
اكثر من رائع بارك الله فيكم 👍,Positive
راح ابدا بسم الله وان شاء اذا رجعت وكتبت لك عبدالله شكرا لك بعد الله بكون نجحت بأذن الله من الله ثم منك ❤️ دعواتكم,Positive
الله يجزيك الخير ويوفقك❤️❤️,Positive
المال لا ينمو على الأشجار بل ينمو مع أمازون,Netural
وش يعني موروث البنات,Netural
نانسي ما عملت اي تصرف مو مليح❤️بس انتو مكبرين الموضوع,Netural
شكرا ابو مالح على شكرك للاستاذ ياسر بالنيابة عننا طريقة تعبيرك بالاخير كانت جدا مميزة اشكرك,Positive
مونتاج بربع جنيه,Negitive
انتبه لنفسك ياكوتش رايح بالطريق الخطأ الله يستر منك💔💀,Negitive
سوي توب  حكام كورة جابو العيد 😂,Netural
أسوا موهبه  بل عالم تستحق الدفن,Negitive
اعوذ بالله الحمدلله على نعمة الامن والامان 😑🙏,Netural
ياخي شذا الابداع الي الله يحرمنا منه لا تستمر الله يسهل دربك ياخي انت على هذي الاغنيت حلال فيك التحطيم وكف,Negitive
ابيك تناظرني بخصوص السحر إذا قدرت,Netural
ذا يحسب حياء سهل ترا سحر لها شروط لا تستغبي,Negitive
اخذتوا اجر كل ماقلتوا فل استغفرت ❤️,Netural
اول شي ومن اسس السحر تذبح لغير الله وتكفر وماتذكر اسم الله ع لسانك لكن ايش ترتجي من واحد عاش كم يوم ببريطانيا ورجع لنا متهيئ وجايب معلوماته من ويكيبيديا 😂,Negitive
الله يعطيك العافيه,Positive
شرح رائع شكرا لك 😍😍,Positive
نسيت بايرن ميونخ فترة بكنباور وجيرد مولر  جلد مو طبيعي ثلاث شامبيونز ليج  كاس العالم كمان 😂😂,Netural
كفوو والله,Positive
حلقه اكثر من ممتعه وحديث جدا شيق وشرح بعمق بأدق التفاصيل من عدة زوايا وامثله بطريقه تسر المشاهد وهالشي صعب تحصله بباقي البرودكاستات اهنيكم وشكرا 👍🏼,Positive
الإعلان في اخر الفيديو قتلني 🤣🤣👌,Netural
يابنت الحلال الراب سريع بالله انتي تسمين هذا راب لا غلط يكون سريع,Negitive
وش ذا اغنية يضحك مافي صوت 😂😂,Negitive
ياك يا عم أنتا تقليدهوم,Netural
كيف نقابلك ونطبق عملي معك,Netural
بردو مش هكرهها😅😅,Netural
اسلوب مبسط جدا في سرد المعلومات الله يعطيك العافيه ونتمنى شرح طريقة عمل المتجر وكيفية الشراء من علي بابا مباشرة على المتجر,Positive
يارب احرمونا من ابداعاتك,Negitive
كتبت تعليق عشان يطلع للناس,Netural
في ذي ماصدقت  اغلب رياضي كرة القدم العالمية اختلفوا بين ميلان و برشا مين ١ ومين ٢ وانت حاططهم اخر القائمة  قلشت معاك مرره,Netural
اثر كلامك فيا مره ما يكفي اشوف المقطع مره وحده ابدا,Positive
اخيرن شفت اغنيه اخيس من صامولي,Negitive
موهبه خفيه تستحق الاخفاء✨,Negitive
ليس أجمل من الكتاب إلا طريقة العرض وتوصيل الفكرة,Positive
جلست على الحلقة اسبوع عشان استوعب كلامه و تفسيره لكل الكلام المهم اللي يقوله جدا مفييدد طبعا تخصصي علاقات عامة و استفدت منه بشكل كبيير بما انه يتكلم بموضوع يهتم بجزء من تخصصي الله يعطيه العافية و يسعده يارب على طرحه للموضوع بشكل واضح لكل الفئات و الأعمار ♥️♥️♥️,Positive
الحمد لله الي على نعمة العقل والدين,Netural
على اي اساس انت تنظر علينا و تحاضر  مسوي نفسك عالم   ومسوي تجربه كومدية عشان تثير الجدل,Negitive
ياليت تنسحر وتفهم,Negitive
حضرتك تعطي طاقة إيجابية وحافز للجد والنشاط ولكن يجب إعطاء الوسائل أيضا كيف أصل للعمل المربح وخاصة لايوجد عمل ووظائف هنا في مصر وإن وجد المرتب ضئيل لايكفي المعيشة ومتطلباتهاثانيا ارجوا عدم تشجيع الناس على عمل فيديوهات اغاني وموسيقى حتي لاتتحمل وزرهم المال الحرام والمكاسب الحرام وبال ولايأتي بخير لصاحبة,Positive
مين اجة من عند هنودي 😂🤓,Netural
موهبه تستحق الدفن💟,Negitive
عادي كلنا ممكن نتضايق من  أحد فضولي او مابغ اتكلم في دا الوقت او احد يصورني المرأة عاطفية احيانا وما تكون رايقة وهادية وتضبط انفعالاتها غير الرجل يقدر يضبط اعصابه ومتزن اكثر من المرأة فاتركوها في حالها انسانه في حالها ماتحب الهواشات,Netural
الي جاي من طرف عبودي لايك,Netural
لازم تكفر بالله  وتجلس على نجاسة وتقرب قربان عشان تحضرهم مو بسخافاتك هاذي,Negitive
لو سمحت ايش أفضل أسوي متجري على شوبفاي أو سلة,Netural
ياخي في ناس مجانين هاذي زوجتو وهو ما يبيها تطلع وهي عاندت وطلعت وهو يبي يرجعها تعاند واينفع معهى الى الضرب,Negitive
اصلا من غير هالواسطه هي واضح انها مغروره وظمافيها اي كيبه ولا اي صفه من اخلاق الفنانين الكبار تشوف السوبر ستار ووليد توفيقتتعلم منهم,Negitive
ماشاء الله شرح جميل  موفق ان شاء الله,Positive
الله يوفقك يارب 💖,Positive
الرجل هذا كأنه داخل عقلي الكلام اللي بيقوله فعلا حقيقي وصحيح ماهي الخطوة القادمة ماذا تفعل الآن,Positive
اه ياني يا فضيحتي,Negitive
وربي احلى لايك شرحك يجنن,Positive
اكرهها دون كل الفيديوات  شوفو كيف تبعد على الناس و كان فيهم طاعون  واحدة مجرمة,Negitive
اغنية ما عليها معاصي,Netural
الله يوسع لك برزقك ويجزاك خير من جد كنت احتاج هذي المعلومات,Positive
اما ذولي من جدهم,Negitive
الاهلي من ٢٠٠٥ لحد ٢٠١٣ منيم القارة من المغرب ❤,Netural
لازم يكون ايمانك ضعيف يافله,Negitive
وين الأهلي السعودي 💚,Netural
كيف ممكن استيراد  المنتجات  من علي إكس برس  عل متجري,Netural
يا جماعة الخير لا تطقطقون عليه لا تحسبونه يستهبل ترا هو ضعيف على نياته,Netural
هه😂😹,Netural
ماشاء الله على ياسر الحزيمي وقدرته على طرح المواضيع بسلاسه مع ذكر امثله من حياتنا الواقعية الي تخلي الموضوع مقنع اكثر استفدت جدا من هذي الحلقه واعجبت بياسر الحزيمي ماشاء الله تبارك الله,Positive
موهبه تستحق الدعم بتريله استمرو استمرو هي وقفت عليكم,Negitive
والله يا اخر قوي شخيتنا بدراسة العقيدة دراسه وافية كأني ركبت العمود الفقري وكان فاضي,Netural
يبدو إننا وجدنا ضالتنا هنا متشوقين لهذه السلسة,Positive
انا يا طويلت العمر هه,Netural
الله يشفيه هاذا جاهل,Negitive
لما تكبر ياعمر راح تعرف انك كنت على جهل  ماتحتاج الى هاذي المسخرة  ارجع الى القران و فهم القران  ولن تضل  واضح حياة وفكر الغرب  مؤثر فيك,Negitive
استغفرالله لا تغني,Negitive
وعليكم السلام ورحمة الله وبركاته,Netural
سبحان من أعطاه هذه المعرفة وهذا العلم من أجمل الحلقات وأكثرها فائدة واتمنى أن يتم تدريسها في الجامعات,Positive
لازم تكفر بالله عشان تقدر تتواصل مع الجن لاتسوق امها ترا حتى البزر يعرف,Negitive
والله انك حادر وادي,Negitive
شفت الحلـقه كامله  وربي عيني تدمع من السمـاجه 🤢🤢🤸,Negitive
فعلا عمر المفروض وجهك يكون العلامة التجارية ل جولي شيك,Negitive
عمر كان الصوت لتفكيري الي كنت اخفيه لنفسي,Netural
تستحق  هه,Netural
وين البايرن يالمربرب😐,Negitive
فعلا القصة يلي صارت مع روبرت كيوساكي بصغره  درس جميل حيث صارت وياي قصه مشابهه اني عمري ١٥ وكنت قبل شهر اشتغل كـ عامل عند محل لبيع وشوي الاسماك كان من٧٣ ظهرا وكنت احصل ١٠ الآف فبيوم من الايام رحت كلمته على ان يخلي الفطور عليه انا ويزيد من يوميتي,Positive
الظاهر تمثيل انا لو كونت مكانوا هجمت على الكل هذه زوجته شو حشرهم مع زوجتو,Negitive
اقراو الكتب فهي من تصنع المثقفين,Netural
مقدمه جدا رائعه,Positive
رجاال ابن رجاال وياليت كان سحب الي فتحوا فمهم مثل النعاج,Netural
مانشستر يونايتد والبايرن,Netural
الفيديو و التصوير  من كمرت تليفون نوكيا,Negitive
اشكرك ي عمر والله انك شجاع انت وطرحك لايوجد دليل علمي بالسحر والعين والسوالف,Positive
الاهلى وقع منك فى الطريق,Netural
طيب وش ذنبه المعلم طالب يهين اب وعنده عيال 😢,Negitive
شو  ما  سوت ما رح اكرهها,Positive
الله يعز الشيخ علي آل ياسين حشرك في زاويه,Positive
معلومات رائعة وقيمة والله وانا من الناس الي مابحب اعلق عاليوتيوب بس للصراحة محتواك اجبرني شكرا الك صديقي عبد الله,Positive
اذني جاها نزيف من اغنيتكم الجميلة 😍💔,Negitive
هاذه ايدلوجيا  فالفلسفه  كلامك كذبه لتمرير افكار للعقل تجارب السلف  يستفاد منها ورجال الدين منزهين عن الكذب ومرة بتجارب وتكلمو فلو صدقنا كلامك لكان اسهل قول أن ليس هناك جنون وصعب عليم ايجاد رد محسوس فشاققناهم لاتخالف فتنقص ياصغيري فتنقص جميله ارجوك انت تعتذر,Negitive
الي جاء من لقيمات عشان الغنية الخايسة لايك,Negitive
من عند هنوديي اوسمم 🔥🔥,Netural
من جاء من طريق سعود القحطاني تيك توك,Netural
الله يحرمنا من ذي الاغانيي😙✨,Negitive
عمر وقف مو كذا تاخذ الشهره😂😂,Negitive
عن حكيم بن حزام رضي الله عنه قال قلت يا رسول الله يأتيني الرجل يسألني من البيع ما ليس عندي فأبيعه منه ثم أبتاعه له من السوق فقال صلى الله عليه وسلم «لا تبع ما ليس عندك» رواه الترمذي والنسائي وابن ماجه وأبو داود,Netural
صدقني يوم من الايام بتطالع فيديوهاتك وتنتقد نفسك لدرجة تتمنى لم تخلق,Negitive
طيب ليش ما جبت الاتحاد ايام زمان,Netural
اتمنى مقابلات اكثرر الحلقة جدا جميلة,Positive
جميل جدا فى اعتقادي راح استفيد من اطروحاتك كثير,Positive
هه عجبني آخر فيديو قالت ما بقدر مثل هه,Positive
شو هل المونتاج بخزي كتير يعع,Negitive
سمعت هاي الأغنية وبديت استفرغ🚮,Negitive
تكفى نبي مقاطع جديده,Positive
الدين علم والله علمنا كل شي من الدين كيف بدينا وكيف ننتهي وعلمنا كل شي وبتفصييل,Netural
اي له حق يضربها طالعه من البيت بدون اذنه,Negitive
مشاء الله اغنية بدون ذنوب كل من يسمعها يستغفر,Netural
ماشاءالله عليك ويني عنك والله بتصير من انجح القنوات ان شاءالله  بسبب تقديمك الجميل,Positive
واو عنجد واصقة من نفسهة هي من كل قواها العقلية عاجبها الفيديو 😕😕,Negitive
اتذكر مقاطع تليقرام حقتهم,Netural
جزاك الله خير استاذي بيض الله وجهك,Positive
شكرا لك استاذ عبدالله وياليت تعرض تلفونك على الشاشة,Positive
الحين لي اجر اني تفرجت المقطع كاممل,Netural
جالس اشاهد الفيديو هذا والمدير قاعد ينادي لي اروح الدوام 😂😂,Netural
صرت احب القراءة بسببك ❤️,Positive
ربنا يبارك لك في عمرك,Positive
مين الي من طلولي,Netural
فيديو ولا اروع وموسيقى طوكيو غول اعطت نكهة خاصة للفيديو,Positive
اسلوبك حلوو يشيخ,Positive
الحمدلله على نعمه الاسلام وكفى بها نعمة وصل اللهم وسلم وبارك على سيدنا محمد وعلى اله وصحبه اجمعين,Netural
رجل ونعم التربيه,Positive
حقيقي شكرا لكم عمي كان ميت ولما سمع الاغنيه قام يطفيها جد شكرا انقذتو حياة عمي😔,Negitive
اعتقد مان السير فيرغسون كان فريق لا يشق له قبار مؤذي جذا,Netural
الشي اللي لازم اركز فيه التقبل👌🏻اي مرحله بدخل فيها بعد التخطيط لازم اتقبلها,Netural
يعني بصراحة الفنان عندو مشاعر زي باقي الناس واحراج الصحفيين يمكن كانت تمزح مع اول واحد بين و الشورت يلي كانت لبسيتو عادي هيا حرة والله مو الناس احسبها الله يلي بحاسبها يوم القيامة  وشكرا على الفيديو اعجبني 😗😗,Positive
انا نفس الشي اعاني من تحسس الحليب ومشتقاته والحنطه واعاني بالعزايم والمطاعم موضوع ياناس صعب 😣,Netural
ولل  الف دسلايم,Netural
حلقة عن اقوى  اندية في العالم العربي من عام  ال,Netural
الحمد لله كل هذه المعلومات علمني ابي بالملي وشجعني وما توظفت رغم اني وجدت ورواتب كويسة لكن التجارة والبزنز  افضل مهما كان الموضوع متعب,Positive
