Comment,Label
كلامه صحيح ٪ قدوتي😍,Positive
لطيفه جدا  بلعكس نانسي وبين عليها حنونه جدا وما تلومها علي صار  لانها مجبره انها دافع عن زوجها وتقف بجانبه,Positive
الله يجزاك الجنة جدا مفيد الفيديو والله يرزقنا رزقا حلالا طيبا ومن أفادنا يارب شكرا لك,Positive
نستعرف بيك راجل و سيد الرجال,Positive
اللهم بارك بمجهودك وبعلمك,Positive
الحمد لله على نعمة الإسلام وكفى بها نعمة وعافية وستر,Positive
عن جد مشكوور اخينا,Positive
مرهه مرهه جميل ذوبت مينو مرحح مرحح هيلو 😍🥰🥰😘,Positive
الله يحقق احلامك ويرحم والديك,Positive
عبدالله شكرا بعد سنتين ربحت اكثر من  الف,Positive
وااصل فكرتك ممتازة,Positive
اكثر من رائع بارك الله فيكم 👍,Positive
راح ابدا بسم الله وان شاء اذا رجعت وكتبت لك عبدالله شكرا لك بعد الله بكون نجحت بأذن الله من الله ثم منك ❤️ دعواتكم,Positive
الله يجزيك الخير ويوفقك❤️❤️,Positive
شكرا ابو مالح على شكرك للاستاذ ياسر بالنيابة عننا طريقة تعبيرك بالاخير كانت جدا مميزة اشكرك,Positive
الله يعطيك العافيه,Positive
شرح رائع شكرا لك 😍😍,Positive
كفوو والله,Positive
حلقه اكثر من ممتعه وحديث جدا شيق وشرح بعمق بأدق التفاصيل من عدة زوايا وامثله بطريقه تسر المشاهد وهالشي صعب تحصله بباقي البرودكاستات اهنيكم وشكرا 👍🏼,Positive
اسلوب مبسط جدا في سرد المعلومات الله يعطيك العافيه ونتمنى شرح طريقة عمل المتجر وكيفية الشراء من علي بابا مباشرة على المتجر,Positive
اثر كلامك فيا مره ما يكفي اشوف المقطع مره وحده ابدا,Positive
ليس أجمل من الكتاب إلا طريقة العرض وتوصيل الفكرة,Positive
جلست على الحلقة اسبوع عشان استوعب كلامه و تفسيره لكل الكلام المهم اللي يقوله جدا مفييدد طبعا تخصصي علاقات عامة و استفدت منه بشكل كبيير بما انه يتكلم بموضوع يهتم بجزء من تخصصي الله يعطيه العافية و يسعده يارب على طرحه للموضوع بشكل واضح لكل الفئات و الأعمار ♥️♥️♥️,Positive
حضرتك تعطي طاقة إيجابية وحافز للجد والنشاط ولكن يجب إعطاء الوسائل أيضا كيف أصل للعمل المربح وخاصة لايوجد عمل ووظائف هنا في مصر وإن وجد المرتب ضئيل لايكفي المعيشة ومتطلباتهاثانيا ارجوا عدم تشجيع الناس على عمل فيديوهات اغاني وموسيقى حتي لاتتحمل وزرهم المال الحرام والمكاسب الحرام وبال ولايأتي بخير لصاحبة,Positive
ماشاء الله شرح جميل  موفق ان شاء الله,Positive
الله يوفقك يارب 💖,Positive
الرجل هذا كأنه داخل عقلي الكلام اللي بيقوله فعلا حقيقي وصحيح ماهي الخطوة القادمة ماذا تفعل الآن,Positive
وربي احلى لايك شرحك يجنن,Positive
الله يوسع لك برزقك ويجزاك خير من جد كنت احتاج هذي المعلومات,Positive
ماشاء الله على ياسر الحزيمي وقدرته على طرح المواضيع بسلاسه مع ذكر امثله من حياتنا الواقعية الي تخلي الموضوع مقنع اكثر استفدت جدا من هذي الحلقه واعجبت بياسر الحزيمي ماشاء الله تبارك الله,Positive
يبدو إننا وجدنا ضالتنا هنا متشوقين لهذه السلسة,Positive
سبحان من أعطاه هذه المعرفة وهذا العلم من أجمل الحلقات وأكثرها فائدة واتمنى أن يتم تدريسها في الجامعات,Positive
فعلا القصة يلي صارت مع روبرت كيوساكي بصغره  درس جميل حيث صارت وياي قصه مشابهه اني عمري ١٥ وكنت قبل شهر اشتغل كـ عامل عند محل لبيع وشوي الاسماك كان من٧٣ ظهرا وكنت احصل ١٠ الآف فبيوم من الايام رحت كلمته على ان يخلي الفطور عليه انا ويزيد من يوميتي,Positive
مقدمه جدا رائعه,Positive
اشكرك ي عمر والله انك شجاع انت وطرحك لايوجد دليل علمي بالسحر والعين والسوالف,Positive
شو  ما  سوت ما رح اكرهها,Positive
الله يعز الشيخ علي آل ياسين حشرك في زاويه,Positive
معلومات رائعة وقيمة والله وانا من الناس الي مابحب اعلق عاليوتيوب بس للصراحة محتواك اجبرني شكرا الك صديقي عبد الله,Positive
اتمنى مقابلات اكثرر الحلقة جدا جميلة,Positive
جميل جدا فى اعتقادي راح استفيد من اطروحاتك كثير,Positive
هه عجبني آخر فيديو قالت ما بقدر مثل هه,Positive
تكفى نبي مقاطع جديده,Positive
ماشاءالله عليك ويني عنك والله بتصير من انجح القنوات ان شاءالله  بسبب تقديمك الجميل,Positive
جزاك الله خير استاذي بيض الله وجهك,Positive
شكرا لك استاذ عبدالله وياليت تعرض تلفونك على الشاشة,Positive
صرت احب القراءة بسببك ❤️,Positive
ربنا يبارك لك في عمرك,Positive
فيديو ولا اروع وموسيقى طوكيو غول اعطت نكهة خاصة للفيديو,Positive
اسلوبك حلوو يشيخ,Positive
رجل ونعم التربيه,Positive
يعني بصراحة الفنان عندو مشاعر زي باقي الناس واحراج الصحفيين يمكن كانت تمزح مع اول واحد بين و الشورت يلي كانت لبسيتو عادي هيا حرة والله مو الناس احسبها الله يلي بحاسبها يوم القيامة  وشكرا على الفيديو اعجبني 😗😗,Positive
الحمد لله كل هذه المعلومات علمني ابي بالملي وشجعني وما توظفت رغم اني وجدت ورواتب كويسة لكن التجارة والبزنز  افضل مهما كان الموضوع متعب,Positive
اول مقطع اشوفه لك و ادائك رهييب,Positive
طريقة رائعة وطرح أكثر من سهل,Positive
لحن الغول في نهاية كل مقطع له وقع جميل,Positive
من اجمل اللقاءات اللي شفتها بحياتي جزاكم الله خير ثلاث ساعات كانت مليئة بالفائدة والمتعة محتوى مميز استمروا,Positive
الفديو جدا جدا قيم شكرا لك,Positive
فيديو مرره عجبني كثيرا,Positive
رووعة 😍 انا متابعتك من المانيا وكنت عم بقرأ الكتاب هل فترة و دخلت ادور من اسبوع على الكتاب على اليوتيوب وشفت صفحتك بالصدفة  رووعة بالتووفيق يا رب 🙏🏻 😍و رح استنى كل جديد,Positive
أجمل حاجة فيه  إنه جمع بين  النقل والفهم والفقه ف الدين  لأن للأسف أغلب اللي ف المجال ده صنايعية سبوبة بينقلو عن الغرب كوبي بيست بدون فهم وعقلية ناقدة وبيروجو لمفاهيم ضد الدين  الإسلامي وفيها من حشو الفلسفات الغربية الفردانية الأنانية والثقة العمياء في الذات بلاوي ويبيعوها للناس على أساس انها علم صرف وحياتهم هتتحسن بسببها   لدرجة أن واحد من هؤلاء الصنايعية  قال إن اللي يعطي شخص آخر طعامه وهو جائع مجنون في مصادمة واضحة لاحاديث وآيات القرآن اللي بتحث على الإيثار   ف ربنا يكثر من امثالك بجد,Positive
وربي دخلت الفيديو ونا متيقن اني بحبها زيادة من بعدة ومهما حاولتو تشوهو من سمعتها ماراح تقدرون,Positive
ماشاءالله كمية معلومات عظيمه تمثل واقعنا وحياتنا بشكل شيق ونبهنا على امور كثييره حتى اننا جالسين نسترجع كل تفاصيل حياتنا هل هي صحيحه ام خاطئه… شكرا لكم ❤,Positive
المزعج أحسه يتكلم عن أشياء نعيشها مو حاسين عليها رغم أنها تأثر كثير في حياتنا  مشكور على رفع مستوى الوعي الحين أعرف مصدر التناقض في أفعالي و سبب تغير المشاعر  القيم سبحان الله,Positive
صراحه اشكر الله اولا ثم اشكر كل شخص بادر خصوصا محمد لأنه طلع في فيديو لثنيان خالد  خلاني اتعرف على قناة محمد بن نحيت والله انا احلف لو بعد سنين لو يجيني اولاد وبنات ان شاءالله اول شيء اخليهم يحبون هذي القناه عشان يستفيدون حرفيا مستحيل افوت اسبوع بدون ما ادخل قناته واعيد الفيديو مره ثانيه من سنة للحين ماراح اقدر اوفيك حقك يامحمد بس الله يجزاك خير ويحفظك من كل شر شكرا لك بكل صدق وامتنان بسببك من عمري  سنه دخلت سوق العمل وعندي الحين استثمار وماتعديت السنه الحمدلله عليك ❤❤,Positive
احلى موهبة استمروو يااقلبي 💝🌹😎,Positive
